Received data from command line argument, length: 628
<<<<<<<<<<<<<<<<  ID: 927869af53b9  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.215, 0.896
INFO [ParseReceivedData][1875] oblslot[6]: -1.215, -0.104
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -0.104
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.022
INFO [ParseReceivedData][1875] oblslot[6]: 0.577, -3.022
INFO [ParseReceivedData][1875] oblslot[6]: 0.577, -3.522
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 1
INFO [ParseReceivedData][1992] start: 3.199 -1.347 3.173
INFO [ParseReceivedData][1993] end: -4.499 -0.843 2.655
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [OneCircleToEndPosLineCalTraj][1534] CE cal time: 0.013ms
INFO [HybridAStarPlan][2225] 0_result: 0   (0)
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.803ms
INFO [HybridAStarPlan][2231] 1_result: 1   (20)
INFO [HybridAStarPlan][2298] path send success 21
INFO [HybridAStarPlan][2315] traj: [0]	 x:0.199	 y:-1.442	 phi:-178.189
INFO [HybridAStarPlan][2315] traj: [1]	 x:0.499	 y:-1.427	 phi:-176.916
INFO [HybridAStarPlan][2315] traj: [2]	 x:0.200	 y:-1.450	 phi:-174.321
INFO [HybridAStarPlan][2315] traj: [3]	 x:-0.099	 y:-1.479	 phi:-174.321
INFO [HybridAStarPlan][2315] traj: [4]	 x:-0.397	 y:-1.509	 phi:-174.321
INFO [HybridAStarPlan][2315] traj: [5]	 x:-0.696	 y:-1.539	 phi:-174.321
INFO [HybridAStarPlan][2315] traj: [6]	 x:-0.995	 y:-1.569	 phi:-174.428
INFO [HybridAStarPlan][2315] traj: [7]	 x:-1.294	 y:-1.590	 phi:-177.282
INFO [HybridAStarPlan][2315] traj: [8]	 x:-1.594	 y:-1.597	 phi:179.863
INFO [HybridAStarPlan][2315] traj: [9]	 x:-1.893	 y:-1.589	 phi:177.009
INFO [HybridAStarPlan][2315] traj: [10]	 x:-2.193	 y:-1.566	 phi:174.154
INFO [HybridAStarPlan][2315] traj: [11]	 x:-2.490	 y:-1.528	 phi:171.300
INFO [HybridAStarPlan][2315] traj: [12]	 x:-2.785	 y:-1.475	 phi:168.445
INFO [HybridAStarPlan][2315] traj: [13]	 x:-3.078	 y:-1.408	 phi:165.591
INFO [HybridAStarPlan][2315] traj: [14]	 x:-3.366	 y:-1.326	 phi:162.736
INFO [HybridAStarPlan][2315] traj: [15]	 x:-3.650	 y:-1.230	 phi:159.882
INFO [HybridAStarPlan][2315] traj: [16]	 x:-3.929	 y:-1.119	 phi:157.027
INFO [HybridAStarPlan][2315] traj: [17]	 x:-4.203	 y:-0.995	 phi:154.173
INFO [HybridAStarPlan][2315] traj: [18]	 x:-4.470	 y:-0.859	 phi:152.132
INFO [HybridAStarPlan][2315] traj: [19]	 x:-4.499	 y:-0.843	 phi:152.132

