Received data from command line argument, length: 760
<<<<<<<<<<<<<<<<  ID: eefbf124439f  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -11  xmax: 5  ymin: -7  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.662
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -2.662
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -3.162
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.230 3.142
INFO [ParseReceivedData][1993] end: -1.443 -4.622 2.014
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.521ms
INFO [HybridAStarPlan][2231] 1_result: 1   (47)
INFO [HybridAStarPlan][2298] path send success 49
INFO [HybridAStarPlan][2315] traj: [0]	 x:-0.803	 y:-1.230	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:-0.503	 y:-1.230	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:-0.203	 y:-1.230	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:0.097	 y:-1.224	 phi:-177.198
INFO [HybridAStarPlan][2315] traj: [4]	 x:-0.203	 y:-1.229	 phi:179.083
INFO [HybridAStarPlan][2315] traj: [5]	 x:-0.503	 y:-1.215	 phi:175.364
INFO [HybridAStarPlan][2315] traj: [6]	 x:-0.801	 y:-1.181	 phi:171.645
INFO [HybridAStarPlan][2315] traj: [7]	 x:-1.096	 y:-1.128	 phi:167.926
INFO [HybridAStarPlan][2315] traj: [8]	 x:-1.387	 y:-1.056	 phi:164.206
INFO [HybridAStarPlan][2315] traj: [9]	 x:-1.673	 y:-0.965	 phi:160.487
INFO [HybridAStarPlan][2315] traj: [10]	 x:-1.952	 y:-0.855	 phi:156.768
INFO [HybridAStarPlan][2315] traj: [11]	 x:-2.224	 y:-0.728	 phi:153.049
INFO [HybridAStarPlan][2315] traj: [12]	 x:-2.487	 y:-0.584	 phi:149.330
INFO [HybridAStarPlan][2315] traj: [13]	 x:-2.739	 y:-0.422	 phi:145.610
INFO [HybridAStarPlan][2315] traj: [14]	 x:-2.981	 y:-0.245	 phi:141.891
INFO [HybridAStarPlan][2315] traj: [15]	 x:-3.211	 y:-0.052	 phi:138.172
INFO [HybridAStarPlan][2315] traj: [16]	 x:-3.428	 y:0.155	 phi:134.453
INFO [HybridAStarPlan][2315] traj: [17]	 x:-3.631	 y:0.376	 phi:130.734
INFO [HybridAStarPlan][2315] traj: [18]	 x:-3.819	 y:0.609	 phi:127.014
INFO [HybridAStarPlan][2315] traj: [19]	 x:-3.992	 y:0.855	 phi:123.295
INFO [HybridAStarPlan][2315] traj: [20]	 x:-4.148	 y:1.110	 phi:119.576
INFO [HybridAStarPlan][2315] traj: [21]	 x:-4.288	 y:1.376	 phi:115.857
INFO [HybridAStarPlan][2315] traj: [22]	 x:-4.417	 y:1.647	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [23]	 x:-4.288	 y:1.376	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [24]	 x:-4.160	 y:1.105	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [25]	 x:-4.031	 y:0.834	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.902	 y:0.563	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [27]	 x:-3.774	 y:0.292	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [28]	 x:-3.645	 y:0.021	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [29]	 x:-3.517	 y:-0.250	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [30]	 x:-3.388	 y:-0.521	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [31]	 x:-3.260	 y:-0.792	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [32]	 x:-3.131	 y:-1.064	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [33]	 x:-3.002	 y:-1.335	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [34]	 x:-2.874	 y:-1.606	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [35]	 x:-2.745	 y:-1.877	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [36]	 x:-2.617	 y:-2.148	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [37]	 x:-2.488	 y:-2.419	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [38]	 x:-2.360	 y:-2.690	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [39]	 x:-2.231	 y:-2.961	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [40]	 x:-2.102	 y:-3.232	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [41]	 x:-1.974	 y:-3.503	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [42]	 x:-1.845	 y:-3.774	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [43]	 x:-1.717	 y:-4.045	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [44]	 x:-1.588	 y:-4.316	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [45]	 x:-1.460	 y:-4.587	 phi:115.377
INFO [HybridAStarPlan][2315] traj: [46]	 x:-1.443	 y:-4.622	 phi:115.377

