Received data from command line argument, length: 536
<<<<<<<<<<<<<<<<  ID: 85f4f4c59994  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.276, 1.178
INFO [ParseReceivedData][1875] oblslot[6]: -0.276, 0.178
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.178
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -4.710
INFO [ParseReceivedData][1875] oblslot[6]: 1.557, -4.710
INFO [ParseReceivedData][1875] oblslot[6]: 1.557, -5.210
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 1
INFO [ParseReceivedData][1992] start: 2.990 -1.144 3.186
INFO [ParseReceivedData][1993] end: -4.250 0.835 2.348
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [OneCircleToEndPosLineCalTraj][1534] CE cal time: 0.013ms
INFO [HybridAStarPlan][2225] 0_result: 0   (0)
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.549ms
INFO [HybridAStarPlan][2231] 1_result: 1   (23)
INFO [HybridAStarPlan][2298] path send success 24
INFO [HybridAStarPlan][2315] traj: [0]	 x:-1.010	 y:-1.321	 phi:-177.473
INFO [HybridAStarPlan][2315] traj: [1]	 x:-0.711	 y:-1.307	 phi:-177.473
INFO [HybridAStarPlan][2315] traj: [2]	 x:-0.411	 y:-1.294	 phi:-177.473
INFO [HybridAStarPlan][2315] traj: [3]	 x:-0.111	 y:-1.281	 phi:-177.473
INFO [HybridAStarPlan][2315] traj: [4]	 x:0.188	 y:-1.263	 phi:-174.788
INFO [HybridAStarPlan][2315] traj: [5]	 x:-0.111	 y:-1.280	 phi:-178.507
INFO [HybridAStarPlan][2315] traj: [6]	 x:-0.411	 y:-1.278	 phi:177.774
INFO [HybridAStarPlan][2315] traj: [7]	 x:-0.710	 y:-1.257	 phi:174.055
INFO [HybridAStarPlan][2315] traj: [8]	 x:-1.008	 y:-1.216	 phi:170.335
INFO [HybridAStarPlan][2315] traj: [9]	 x:-1.301	 y:-1.156	 phi:166.616
INFO [HybridAStarPlan][2315] traj: [10]	 x:-1.591	 y:-1.077	 phi:162.897
INFO [HybridAStarPlan][2315] traj: [11]	 x:-1.875	 y:-0.980	 phi:159.178
INFO [HybridAStarPlan][2315] traj: [12]	 x:-2.151	 y:-0.864	 phi:155.459
INFO [HybridAStarPlan][2315] traj: [13]	 x:-2.420	 y:-0.731	 phi:151.739
INFO [HybridAStarPlan][2315] traj: [14]	 x:-2.679	 y:-0.580	 phi:148.020
INFO [HybridAStarPlan][2315] traj: [15]	 x:-2.929	 y:-0.413	 phi:144.301
INFO [HybridAStarPlan][2315] traj: [16]	 x:-3.166	 y:-0.230	 phi:140.582
INFO [HybridAStarPlan][2315] traj: [17]	 x:-3.392	 y:-0.033	 phi:136.863
INFO [HybridAStarPlan][2315] traj: [18]	 x:-3.605	 y:0.179	 phi:134.513
INFO [HybridAStarPlan][2315] traj: [19]	 x:-3.815	 y:0.393	 phi:134.513
INFO [HybridAStarPlan][2315] traj: [20]	 x:-4.025	 y:0.606	 phi:134.513
INFO [HybridAStarPlan][2315] traj: [21]	 x:-4.236	 y:0.820	 phi:134.513
INFO [HybridAStarPlan][2315] traj: [22]	 x:-4.250	 y:0.835	 phi:134.513

