Received data from command line argument, length: 427
<<<<<<<<<<<<<<<<  ID: bc113557f299  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 3.267
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, 2.267
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 2.267
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.671
INFO [ParseReceivedData][1875] oblslot[6]: 0.229, -2.671
INFO [ParseReceivedData][1875] oblslot[6]: 0.229, -3.171
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 1
INFO [ParseReceivedData][1992] start: 2.997 -1.213 3.136
INFO [ParseReceivedData][1993] end: -3.584 1.694 2.213
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [OneCircleToEndPosLineCalTraj][1534] CE cal time: 0.013ms
INFO [HybridAStarPlan][2225] 0_result: 0   (0)
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.363ms
INFO [HybridAStarPlan][2231] 1_result: 1   (23)
INFO [HybridAStarPlan][2298] path send success 24
INFO [HybridAStarPlan][2315] traj: [0]	 x:-0.003	 y:-1.196	 phi:179.663
INFO [HybridAStarPlan][2315] traj: [1]	 x:0.297	 y:-1.197	 phi:179.663
INFO [HybridAStarPlan][2315] traj: [2]	 x:0.597	 y:-1.199	 phi:179.663
INFO [HybridAStarPlan][2315] traj: [3]	 x:0.897	 y:-1.201	 phi:-179.976
INFO [HybridAStarPlan][2315] traj: [4]	 x:0.597	 y:-1.191	 phi:176.305
INFO [HybridAStarPlan][2315] traj: [5]	 x:0.299	 y:-1.162	 phi:172.586
INFO [HybridAStarPlan][2315] traj: [6]	 x:0.003	 y:-1.114	 phi:168.866
INFO [HybridAStarPlan][2315] traj: [7]	 x:-0.290	 y:-1.046	 phi:165.147
INFO [HybridAStarPlan][2315] traj: [8]	 x:-0.577	 y:-0.960	 phi:161.428
INFO [HybridAStarPlan][2315] traj: [9]	 x:-0.858	 y:-0.855	 phi:157.709
INFO [HybridAStarPlan][2315] traj: [10]	 x:-1.132	 y:-0.733	 phi:153.990
INFO [HybridAStarPlan][2315] traj: [11]	 x:-1.397	 y:-0.592	 phi:150.270
INFO [HybridAStarPlan][2315] traj: [12]	 x:-1.652	 y:-0.435	 phi:146.551
INFO [HybridAStarPlan][2315] traj: [13]	 x:-1.897	 y:-0.262	 phi:142.832
INFO [HybridAStarPlan][2315] traj: [14]	 x:-2.130	 y:-0.073	 phi:139.113
INFO [HybridAStarPlan][2315] traj: [15]	 x:-2.351	 y:0.131	 phi:135.394
INFO [HybridAStarPlan][2315] traj: [16]	 x:-2.557	 y:0.348	 phi:131.674
INFO [HybridAStarPlan][2315] traj: [17]	 x:-2.749	 y:0.578	 phi:127.955
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.930	 y:0.818	 phi:126.767
INFO [HybridAStarPlan][2315] traj: [19]	 x:-3.109	 y:1.058	 phi:126.767
INFO [HybridAStarPlan][2315] traj: [20]	 x:-3.289	 y:1.299	 phi:126.767
INFO [HybridAStarPlan][2315] traj: [21]	 x:-3.468	 y:1.539	 phi:126.767
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.584	 y:1.694	 phi:126.767

