Received data from command line argument, length: 861
<<<<<<<<<<<<<<<<  ID: 426c4153fd75  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -11  xmax: 5  ymin: -8  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: -1.000, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -2.652
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -2.652
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -3.152
INFO [ParseReceivedData][1990] slot_type: 3
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.225 3.142
INFO [ParseReceivedData][1993] end: -1.454 -5.441 2.013
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.856ms
INFO [HybridAStarPlan][2231] 1_result: 1   (46)
INFO [HybridAStarPlan][2298] path send success 48
INFO [HybridAStarPlan][2315] traj: [0]	 x:-0.803	 y:-1.225	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:-0.503	 y:-1.225	 phi:-179.735
INFO [HybridAStarPlan][2315] traj: [2]	 x:-0.803	 y:-1.217	 phi:176.546
INFO [HybridAStarPlan][2315] traj: [3]	 x:-1.101	 y:-1.189	 phi:172.827
INFO [HybridAStarPlan][2315] traj: [4]	 x:-1.398	 y:-1.142	 phi:169.108
INFO [HybridAStarPlan][2315] traj: [5]	 x:-1.690	 y:-1.076	 phi:165.389
INFO [HybridAStarPlan][2315] traj: [6]	 x:-1.978	 y:-0.991	 phi:161.670
INFO [HybridAStarPlan][2315] traj: [7]	 x:-2.259	 y:-0.887	 phi:157.950
INFO [HybridAStarPlan][2315] traj: [8]	 x:-2.534	 y:-0.765	 phi:154.231
INFO [HybridAStarPlan][2315] traj: [9]	 x:-2.799	 y:-0.626	 phi:150.512
INFO [HybridAStarPlan][2315] traj: [10]	 x:-3.056	 y:-0.470	 phi:146.793
INFO [HybridAStarPlan][2315] traj: [11]	 x:-3.301	 y:-0.298	 phi:143.074
INFO [HybridAStarPlan][2315] traj: [12]	 x:-3.535	 y:-0.110	 phi:139.354
INFO [HybridAStarPlan][2315] traj: [13]	 x:-3.756	 y:0.093	 phi:135.635
INFO [HybridAStarPlan][2315] traj: [14]	 x:-3.963	 y:0.309	 phi:131.916
INFO [HybridAStarPlan][2315] traj: [15]	 x:-4.157	 y:0.539	 phi:128.197
INFO [HybridAStarPlan][2315] traj: [16]	 x:-4.334	 y:0.780	 phi:124.477
INFO [HybridAStarPlan][2315] traj: [17]	 x:-4.496	 y:1.033	 phi:120.758
INFO [HybridAStarPlan][2315] traj: [18]	 x:-4.641	 y:1.296	 phi:117.039
INFO [HybridAStarPlan][2315] traj: [19]	 x:-4.771	 y:1.566	 phi:115.337
INFO [HybridAStarPlan][2315] traj: [20]	 x:-4.643	 y:1.295	 phi:115.337
INFO [HybridAStarPlan][2315] traj: [21]	 x:-4.514	 y:1.024	 phi:115.337
INFO [HybridAStarPlan][2315] traj: [22]	 x:-4.386	 y:0.752	 phi:115.337
INFO [HybridAStarPlan][2315] traj: [23]	 x:-4.258	 y:0.481	 phi:115.337
INFO [HybridAStarPlan][2315] traj: [24]	 x:-4.129	 y:0.210	 phi:115.337
INFO [HybridAStarPlan][2315] traj: [25]	 x:-4.001	 y:-0.061	 phi:115.337
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.872	 y:-0.332	 phi:115.337
