Received data from command line argument, length: 1207
<<<<<<<<<<<<<<<<  ID: acde3bf88482  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -6  xmax: 3  ymin: -8  ymax: 8
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 3.145
INFO [ParseReceivedData][1875] oblslot[6]: -0.100, 1.145
INFO [ParseReceivedData][1875] oblslot[6]: 2.581, 1.145
INFO [ParseReceivedData][1875] oblslot[6]: 2.575, -7.108
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -7.108
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -9.108
INFO [ParseReceivedData][1990] slot_type: 1
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 1.189 -4.780 1.571
INFO [ParseReceivedData][1993] end: 0.398 -2.939 2.381
INFO [HybridAStarPlan][2164] 0_start: 1.1890 -4.7800 1.5708
INFO [HybridAStarPlan][2212] 1_start: 1.2684 -5.6330 1.7564
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.7770ms
INFO [HybridAStarPlan][2231] 1_result: 1   (21)
INFO [HybridAStarPlan][2298] path send success 23
INFO [HybridAStarPlan][2315] traj: [0]	 x:1.189	 y:-4.680	 phi:90.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:1.189	 y:-4.780	 phi:90.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:1.250	 y:-5.535	 phi:100.633
INFO [HybridAStarPlan][2315] traj: [3]	 x:1.268	 y:-5.633	 phi:100.633
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.213	 y:-5.338	 phi:100.851
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.150	 y:-5.045	 phi:103.335
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.075	 y:-4.755	 phi:105.818
INFO [HybridAStarPlan][2315] traj: [7]	 x:0.987	 y:-4.468	 phi:108.301
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.886	 y:-4.185	 phi:110.785
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.774	 y:-3.907	 phi:113.268
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.649	 y:-3.634	 phi:115.751
INFO [HybridAStarPlan][2315] traj: [11]	 x:0.513	 y:-3.367	 phi:118.235
INFO [HybridAStarPlan][2315] traj: [12]	 x:0.366	 y:-3.106	 phi:120.718
INFO [HybridAStarPlan][2315] traj: [13]	 x:0.207	 y:-2.851	 phi:123.201
INFO [HybridAStarPlan][2315] traj: [14]	 x:0.037	 y:-2.604	 phi:125.685
INFO [HybridAStarPlan][2315] traj: [15]	 x:-0.143	 y:-2.364	 phi:128.168
INFO [HybridAStarPlan][2315] traj: [16]	 x:-0.329	 y:-2.129	 phi:127.407
INFO [HybridAStarPlan][2315] traj: [17]	 x:-0.142	 y:-2.363	 phi:129.890
INFO [HybridAStarPlan][2315] traj: [18]	 x:0.055	 y:-2.589	 phi:132.374
INFO [HybridAStarPlan][2315] traj: [19]	 x:0.262	 y:-2.806	 phi:134.857
INFO [HybridAStarPlan][2315] traj: [20]	 x:0.398	 y:-2.939	 phi:136.433

