Received data from command line argument, length: 740
<<<<<<<<<<<<<<<<  ID: c6aaa255046a  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 1
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 2  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: 0.367, 1.200
INFO [ParseReceivedData][1875] oblslot[6]: 0.367, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.200
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -4.497
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -4.497
INFO [ParseReceivedData][1875] oblslot[6]: 0.200, -4.997
INFO [ParseReceivedData][1889] oblradar[2]: -6.525, 3.837
INFO [ParseReceivedData][1889] oblradar[2]: -6.525, 3.837
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 1
INFO [ParseReceivedData][1992] start: 3.197 -1.063 3.146
INFO [ParseReceivedData][1993] end: -2.475 1.625 2.230
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] -2.475  1.625  127.775
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] -2.286  1.392  130.251
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] -2.087  1.168  132.728
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] -1.879  0.952  135.204
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] -1.662  0.745  137.680
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] -1.436  0.548  140.156
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] -1.201  0.361  142.632
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] -0.959  0.184  145.108
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] -0.709  0.018  147.584
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] -0.453  -0.138  150.060
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] -0.190  -0.282  152.536
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] 0.080  -0.414  155.012
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] 0.354  -0.535  157.488
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] 0.634  -0.644  159.965
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] 0.918  -0.741  162.441
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] 1.206  -0.825  164.917
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] 1.497  -0.897  167.393
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] 1.791  -0.956  169.869
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] 2.087  -1.002  172.345
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] 2.385  -1.036  174.821
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] 2.685  -1.056  177.297
INFO [APAPathPlanningConvertArcSegmentToPoints][1303] 2.985  -1.064  179.773
INFO [APAPathPlanningConvertArcSegmentToPoints][1313] 3.041  -1.064  180.241
INFO [OneCircleTrajCal][1440] num: 23
INFO [OneCircleToEndPosLineCalTraj][1534] CE cal time: 0.715ms
INFO [HybridAStarPlan][2225] 0_result: 0   (0)
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.622ms
INFO [HybridAStarPlan][2231] 1_result: 1   (56)
INFO [HybridAStarPlan][2298] path send success 58
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.063	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.065	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.066	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-1.067	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-1.068	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-1.070	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.397	 y:-1.071	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.097	 y:-1.072	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.797	 y:-1.073	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.497	 y:-1.075	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.197	 y:-1.076	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.103	 y:-1.077	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.403	 y:-1.078	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.703	 y:-1.080	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [14]	 x:-1.003	 y:-1.081	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.303	 y:-1.082	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.603	 y:-1.083	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.903	 y:-1.085	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.203	 y:-1.086	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.503	 y:-1.087	 phi:-179.759
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.803	 y:-1.091	 phi:-177.947
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.503	 y:-1.090	 phi:178.335
INFO [HybridAStarPlan][2315] traj: [22]	 x:-2.204	 y:-1.108	 phi:174.615
INFO [HybridAStarPlan][2315] traj: [23]	 x:-1.906	 y:-1.146	 phi:170.896
INFO [HybridAStarPlan][2315] traj: [24]	 x:-1.612	 y:-1.203	 phi:167.177
INFO [HybridAStarPlan][2315] traj: [25]	 x:-1.322	 y:-1.279	 phi:163.458
INFO [HybridAStarPlan][2315] traj: [26]	 x:-1.037	 y:-1.374	 phi:159.739
INFO [HybridAStarPlan][2315] traj: [27]	 x:-0.759	 y:-1.487	 phi:156.019
INFO [HybridAStarPlan][2315] traj: [28]	 x:-0.489	 y:-1.618	 phi:152.300
INFO [HybridAStarPlan][2315] traj: [29]	 x:-0.228	 y:-1.766	 phi:148.581
INFO [HybridAStarPlan][2315] traj: [30]	 x:0.022	 y:-1.930	 phi:144.862
INFO [HybridAStarPlan][2315] traj: [31]	 x:0.262	 y:-2.111	 phi:141.143
INFO [HybridAStarPlan][2315] traj: [32]	 x:0.489	 y:-2.306	 phi:137.423
INFO [HybridAStarPlan][2315] traj: [33]	 x:0.704	 y:-2.516	 phi:133.704
INFO [HybridAStarPlan][2315] traj: [34]	 x:0.904	 y:-2.740	 phi:129.985
INFO [HybridAStarPlan][2315] traj: [35]	 x:1.090	 y:-2.975	 phi:127.775
INFO [HybridAStarPlan][2315] traj: [36]	 x:0.906	 y:-2.738	 phi:127.775
INFO [HybridAStarPlan][2315] traj: [37]	 x:0.723	 y:-2.500	 phi:127.775
