Received data from command line argument, length: 735
<<<<<<<<<<<<<<<<  ID: 9e42b19636a1  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 0
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.626, 2.137
INFO [ParseReceivedData][1875] oblslot[6]: -0.626, 1.137
INFO [ParseReceivedData][1875] oblslot[6]: 5.028, 1.137
INFO [ParseReceivedData][1875] oblslot[6]: 5.028, -4.758
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -4.759
INFO [ParseReceivedData][1875] oblslot[6]: 1.500, -5.259
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 0
INFO [ParseReceivedData][1992] start: 3.197 -1.129 3.142
INFO [ParseReceivedData][1993] end: -2.266 -1.865 1.838
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [RSCurveQuickCalTraj][1197] RS cal time: 0.549ms
INFO [HybridAStarPlan][2231] 1_result: 1   (34)
INFO [HybridAStarPlan][2298] path send success 35
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.129	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.129	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.129	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-1.129	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-1.129	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-1.129	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.397	 y:-1.129	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.097	 y:-1.129	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.797	 y:-1.129	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.497	 y:-1.129	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.197	 y:-1.129	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.103	 y:-1.129	 phi:-180.000
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.403	 y:-1.126	 phi:177.861
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.702	 y:-1.105	 phi:174.142
INFO [HybridAStarPlan][2315] traj: [14]	 x:-0.999	 y:-1.065	 phi:170.423
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.293	 y:-1.005	 phi:166.704
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.583	 y:-0.927	 phi:162.984
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.867	 y:-0.830	 phi:159.265
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.144	 y:-0.714	 phi:155.546
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.413	 y:-0.581	 phi:151.827
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.672	 y:-0.431	 phi:148.108
INFO [HybridAStarPlan][2315] traj: [21]	 x:-2.922	 y:-0.265	 phi:144.388
INFO [HybridAStarPlan][2315] traj: [22]	 x:-3.160	 y:-0.082	 phi:140.669
INFO [HybridAStarPlan][2315] traj: [23]	 x:-3.385	 y:0.115	 phi:136.950
INFO [HybridAStarPlan][2315] traj: [24]	 x:-3.602	 y:0.322	 phi:137.513
INFO [HybridAStarPlan][2315] traj: [25]	 x:-3.388	 y:0.113	 phi:133.794
INFO [HybridAStarPlan][2315] traj: [26]	 x:-3.187	 y:-0.110	 phi:130.074
INFO [HybridAStarPlan][2315] traj: [27]	 x:-3.002	 y:-0.346	 phi:126.355
INFO [HybridAStarPlan][2315] traj: [28]	 x:-2.832	 y:-0.593	 phi:122.636
INFO [HybridAStarPlan][2315] traj: [29]	 x:-2.678	 y:-0.851	 phi:118.917
INFO [HybridAStarPlan][2315] traj: [30]	 x:-2.542	 y:-1.118	 phi:115.198
INFO [HybridAStarPlan][2315] traj: [31]	 x:-2.423	 y:-1.393	 phi:111.478
INFO [HybridAStarPlan][2315] traj: [32]	 x:-2.323	 y:-1.676	 phi:107.759
INFO [HybridAStarPlan][2315] traj: [33]	 x:-2.266	 y:-1.865	 phi:105.315

