Received data from command line argument, length: 780
<<<<<<<<<<<<<<<<  ID: 4982df7809ff  <<<<<<<<<<<<<<<<
INFO [ParseReceivedData][1838] plan_cnt: 3
INFO [ParseReceivedData][1840] xybounds: xmin: -9  xmax: 5  ymin: -5  ymax: 9
INFO [ParseReceivedData][1841] radarnums: 0  sidenums:0
INFO [ParseReceivedData][1842] endpos_correct_flag: 0
INFO [ParseReceivedData][1875] oblslot[6]: -0.872, 1.349
INFO [ParseReceivedData][1875] oblslot[6]: -0.872, 0.349
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, 0.349
INFO [ParseReceivedData][1875] oblslot[6]: 4.960, -3.968
INFO [ParseReceivedData][1875] oblslot[6]: 1.477, -3.872
INFO [ParseReceivedData][1875] oblslot[6]: 1.477, -4.372
INFO [ParseReceivedData][1990] slot_type: 2
INFO [ParseReceivedData][1991] target_dir: 1
INFO [ParseReceivedData][1992] start: 3.197 -1.208 3.122
INFO [ParseReceivedData][1993] end: -2.738 -1.239 3.143
INFO [HybridAStarPlan][2220] -------------------1-------------------
INFO [OneCircleToEndPosLineCalTraj][1534] CE cal time: 0.013ms
INFO [HybridAStarPlan][2225] 0_result: 0   (0)
INFO [RSCurveQuickCalTraj][1197] RS cal time: 1.222ms
INFO [HybridAStarPlan][2231] 1_result: 1   (21)
INFO [HybridAStarPlan][2298] path send success 21
INFO [HybridAStarPlan][2315] traj: [0]	 x:3.197	 y:-1.208	 phi:178.872
INFO [HybridAStarPlan][2315] traj: [1]	 x:2.897	 y:-1.204	 phi:179.587
INFO [HybridAStarPlan][2315] traj: [2]	 x:2.597	 y:-1.203	 phi:-179.697
INFO [HybridAStarPlan][2315] traj: [3]	 x:2.297	 y:-1.205	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [4]	 x:1.997	 y:-1.207	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [5]	 x:1.697	 y:-1.209	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [6]	 x:1.397	 y:-1.211	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [7]	 x:1.097	 y:-1.213	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [8]	 x:0.797	 y:-1.216	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [9]	 x:0.497	 y:-1.218	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [10]	 x:0.197	 y:-1.220	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [11]	 x:-0.103	 y:-1.222	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [12]	 x:-0.403	 y:-1.224	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [13]	 x:-0.703	 y:-1.226	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [14]	 x:-1.003	 y:-1.228	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [15]	 x:-1.303	 y:-1.230	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [16]	 x:-1.603	 y:-1.232	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [17]	 x:-1.903	 y:-1.234	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [18]	 x:-2.203	 y:-1.236	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [19]	 x:-2.503	 y:-1.238	 phi:-179.613
INFO [HybridAStarPlan][2315] traj: [20]	 x:-2.738	 y:-1.239	 phi:-179.897

